course,course_group
AIR-010W,1
AIR-011P,1
AIR-012C,1
AIR-012W,1
AIR-016W,1
AIR-020W,1
AIR-021C,1
AIR-024E,1
AIR-025W,1
AIR-037C,1
AIR-037W,1
AIR-100C,1
AIR-190W,1
ARE0004L,1
ARE0004W,1
ARE0006W,1
ARE0011L,1
ARE0011W,1
ARE0013L,1
ARE0013W,1
ARE0014L,1
ARE0014W,1
ARE0022L,1
ARE0022P,1
ARE0022W,1
ARE0022l,1
ARE0023L,1
ARE0023W,1
ARE0024C,1
ARE0024L,1
ARE0024W,1
ARE0034E,1
ARE0034W,1
ARE0040L,1
ARE0043P,1
ARE0043W,1
ARE0062E,1
ARE0062L,1
ARE0062P,1
ARE0062W,1
ARE1015C,1
ARE1015W,1
ARE2030C,1
ARE2030W,1
ARE2031C,1
ARE2031W,1
ARE2032L,1
ARE2032W,1
ARE2033W,1
ARE2035P,1
ARE2035W,1
ARE2036C,1
ARE2036P,1
ARE2036W,1
ARE2038W,1
ARE3041L,1
ARE3042C,1
ARE3042W,1
ARE3044C,1
ARE3044E,1
ARE3044W,1
ARE3045P,1
ARE3045W,1
ARE3046P,1
ARE3046W,1
ARE3048L,1
ARE3048P,1
ARE3048W,1
ARE3049C,1
ARE3049P,1
ARE3049W,1
ARE3050W,1
ARE3051C,1
ARE3051P,1
ARE3051W,1
ARE3052P,1
ARE3052W,1
ARE3055P,1
ARE3055W,1
ARE3060C,1
ARE3060E,1
ARE3060L,1
ARE3060W,1
ARE3061L,1
ARE3063C,1
ARE3063W,1
ARE3064L,1
ARE3064W,1
ARE3066C,1
ARE3066L,1
ARE3066P,1
ARE3066W,1
ARE3150P,1
ARE3150S,1
ARE3150W,1
ARE3151L,1
ARE3151W,1
ARE3250P,1
ARE3250W,1
ARE3251L,1
ARE3251W,1
ARE3350W,1
ARE3351P,1
ARE3351W,1
ARE3352W,1
ARE4070L,1
ARE4070P,1
ARE4070W,1
ARE4100C,1
ARE4100S,1
ARE4100W,1
ARE4103S,1
ARE4103W,1
ARE4105W,1
ARE4150P,1
ARE4150S,1
ARE4150W,1
ARE4151L,1
ARE4151W,1
ARE4160C,1
ARE4160L,1
ARE4160W,1
ARE4161C,1
ARE4161L,1
ARE4161W,1
ARE4162P,1
ARE4162W,1
ARE4163L,1
ARE4163W,1
ARE4164C,1
ARE4164L,1
ARE4164W,1
ARE4165L,1
ARE4165W,1
ARE4166P,1
ARE4166W,1
ARE4170C,1
ARE4170P,1
ARE4171S,1
ARE4171W,1
ARE4172W,1
ARE4173P,1
ARE4173S,1
ARE4173W,1
ARE4183L,1
ARE4183W,1
ARE4192W,1
ARE4260W,1
ARE4261C,1
ARE4261P,1
ARE4261W,1
ARE4262P,1
ARE4263P,1
ARE4263W,1
ARE4264L,1
ARE4265C,1
ARE4265W,1
ARE4266C,1
ARE4266L,1
ARE4266W,1
ARE4267L,1
ARE4267W,1
ARE4268L,1
ARE4268W,1
ARE4270L,1
ARE4270P,1
ARE4270W,1
ARE4271L,1
ARE4271W,1
ARE4272L,1
ARE4272W,1
ARE4273P,1
ARE4273W,1
ARE4275P,1
ARE4275W,1
ARE4276P,1
ARE4276W,1
ARE4278P,1
ARE4278W,1
ARE4279P,1
ARE4279W,1
ARE4360L,1
ARE4360P,1
ARE4361P,1
ARE4361W,1
ARE4362C,1
ARE4362W,1
ARE4363C,1
ARE4363W,1
