semester,year,course,teacher_id,grade,exam,student_id
1,1998,ARE0004W,4111,3,,1
1,1998,ARE0024C,4517,2,,1
1,1998,ARE0024L,4220,3,,1
1,1998,ARE0024W,4517,2,E,1
1,1998,ETE0133L,4565,4,,1
1,1998,INE2030W,4151,3.5,E,1
1,1998,MAP3005C,11029,3,,1
1,1998,MAP3005W,11029,3,,1
1,1998,MAP3008W,11038,2,E,1
1,1998,ARE0004L,4115,4.5,,2
1,1998,ARE0004W,4111,3.5,,2
1,1998,ARE0006W,4107,5,,2
1,1998,ETE0110P,4156,3.5,,2
1,1998,ETE0110W,4564,4,E,2
1,1998,FZP2003C,11383,4.5,,2
1,1998,FZP2003W,11373,3.5,E,2
1,1998,MAP1002W,11133,4.5,,2
1,1998,MAP1004W,11100,4,E,2
1,1998,ARE0004L,4090,3,,3
1,1998,ARE0004W,4111,3,,3
1,1998,ARE0006W,4107,4,,3
1,1998,ETE0110P,4562,3.5,,3
1,1998,ETE0110W,4564,3,E,3
1,1998,FZP2003C,11383,3,,3
1,1998,FZP2003W,11373,3,E,3
1,1998,MAP1002W,11133,4,,3
1,1998,MAP1004W,11100,3,E,3
1,1998,ARE0004L,4115,4.5,,4
1,1998,ARE0004W,4111,3.5,,4
1,1998,ARE0006W,4107,4,,4
1,1998,ETE0110P,4175,4,,4
1,1998,ETE0110W,4564,3.5,E,4
1,1998,FZP2003C,11410,3.5,,4
1,1998,FZP2003W,11373,3,E,4
1,1998,MAP1002W,11133,4,,4
1,1998,MAP1004W,11100,3,E,4
1,1998,ARE4373L,4107,3,,5
1,1998,ARE4373P,4107,4,,5
1,1998,ARE4373W,4107,3.5,,5
1,1998,ARE5090C,4622,4,,5
1,1998,ARE5352P,4128,4,,5
1,1998,ARE5380P,4115,4,,5
1,1998,ARE5381P,4067,4,,5
1,1998,ARE5381W,4067,3,E,5
1,1998,ARE5384P,4117,3,,5
1,1998,ARE5384W,4117,1,,5
1,1998,ARE5391P,4622,3,,5
1,1998,ARE5391W,4622,3,,5
1,1998,ARE3350W,4128,5,E,6
1,1998,ARE4070L,4120,4.5,,6
1,1998,ARE4070P,4085,4.5,,6
1,1998,ARE4070W,4085,3,E,6
1,1998,ARE4361P,4117,4.5,,6
1,1998,ARE4361W,4117,1,,6
1,1998,ARE4362C,4056,4.5,,6
1,1998,ARE4362W,4056,4.5,,6
1,1998,ARE4363C,4622,4,,6
1,1998,ARE4363W,4125,4,E,6
1,1998,ARE4374W,4129,3,,6
1,1998,ARE4375P,4090,4.5,,6
1,1998,ARE4375W,4090,4.5,,6
1,1998,ARE5391P,4622,4.5,,6
1,1998,ARE5391W,4622,4.5,,6
1,1998,OSZ9318W,8308,5.5,,6
1,1998,PSZ0120C,8552,5,,6
1,1998,ARE0024W,4517,2,E,7
1,1998,ARE4373L,4107,4,,7
1,1998,ARE4373P,4107,4,,7
1,1998,ARE4373W,4107,4,,7
1,1998,ARE5090C,4270,4,,7
1,1998,ARE5352P,4128,4.5,,7
1,1998,ARE5380P,4115,4,,7
1,1998,ARE5380W,4115,1,,7
1,1998,ARE5381P,4067,4.5,,7
1,1998,ARE5381W,4067,3,E,7
1,1998,ARE5384P,4117,3.5,,7
1,1998,ARE5384S,4117,3.5,,7
1,1998,ARE5384W,4117,1,,7
1,1998,MAP3004W,11058,2,,7
1,1998,PRZ0156W,8506,4,,7
1,1998,ARE0024C,4517,3.5,,8
1,1998,ARE0024W,4517,2,E,8
1,1998,MAP3005C,11126,2,,8
1,1998,MAP3005W,11029,2,,8
1,1998,MAP3008W,11101,4,E,8
1,1998,ARE0024C,4517,3.5,,9
1,1998,ARE0024L,4220,3.5,,9
1,1998,ARE0024W,4517,3,E,9
1,1998,ARE0040L,4828,3.5,,9
1,1998,ARE0043W,4131,3.5,,9
1,1998,ARE3041L,4073,4,,9
1,1998,ARE3044C,4102,3.5,,9
1,1998,ARE3044W,4125,3.5,E,9
1,1998,ARE3052P,4540,5,,9
1,1998,ARE3052W,8216,3,E,9
1,1998,ARE3066P,4082,4,,9
1,1998,ARE3066W,4069,4,,9
1,1998,EKZ9305W,8351,5.5,,9
1,1998,JZL1110C,21033,2,,9
1,1998,WFW3052C,23001,5,,9
1,1998,ARE0040L,4195,2,,10
1,1998,ARE0043W,4131,3.5,,10
1,1998,ARE3041L,4098,5,,10
1,1998,ARE3044C,4102,5,,10
1,1998,ARE3044W,4125,5,E,10
1,1998,ARE3052P,4540,5,,10
1,1998,ARE3052W,8216,3,E,10
1,1998,ARE3066P,4082,4.5,,10
1,1998,ARE3066W,4069,4.5,,10
1,1998,ARE4265C,4592,4,,10
1,1998,ARE4265W,4125,4,,10
1,1998,JZL1410C,21050,2,,10
1,1998,MAP3008W,11038,3,E,10
1,1998,WFW6012C,23025,5,,10
1,1998,ARE0022L,4050,3.5,,11
1,1998,ARE0022W,8213,3.5,,11
1,1998,ARE0024C,4517,2,,11
1,1998,ARE0024L,4517,2,,11
1,1998,ARE0024W,4517,2,E,11
1,1998,ETE0133L,4627,3.5,,11
1,1998,FZP3007W,11315,3,,11
1,1998,INE2030W,4143,2,E,11
1,1998,MAP3005C,11029,2,,11
1,1998,MAP3005W,11029,2,,11
1,1998,MAP3008W,11038,3,E,11
1,1998,ARE0024C,4517,3,,12
1,1998,ARE0024W,4517,2,E,12
1,1998,MAP3005C,11126,2,,12
1,1998,MAP3005W,11029,2,,12
1,1998,MAP3008W,11101,4,E,12
1,1998,ARE0022L,4917,5,,13
1,1998,ARE0022W,8213,5,,13
