spec,sub_spec,sub_spec2,gender,student_id
AIR,ARR,,K,1
AIR,ARS,,K,2
AIR,ARK,,K,3
AIR,ARS,,K,4
AIR,ARR,,M,5
AIR,ARR,,M,6
AIR,ARR,,M,7
AIR,ARK,,M,8
AIR,ARR,,M,9
AIR,ARK,,M,10
AIR,ARK,,M,11
AIR,ARK,,M,12
AIR,ARR,,M,13
AIR,ARS,,M,14
AIR,ARK,,M,15
AIR,ARS,,M,16
AIR,ARK,,M,17
AIR,ARS,,M,18
AIR,ARK,,M,19
AIR,ARS,,M,20
AIR,ARK,,M,21
AIR,ARK,,M,22
AIR,ARR,,M,23
AIR,ARK,,M,24
AIR,ARK,,M,25
AIR,ARK,,M,26
AIR,ARK,,M,27
AIR,ARR,,M,28
AIR,ARS,,M,29
AIR,ARK,,M,30
AIR,ARS,,M,31
AIR,ARS,,M,32
AIR,ARS,,M,33
AIR,ARS,,M,34
AIR,ARK,,M,35
AIR,ARS,,M,36
AIR,ARS,,M,37
AIR,ARK,,M,38
AIR,ARK,,M,39
AIR,ARS,,M,40
AIR,ARS,,M,41
AIR,ARK,,M,42
AIR,ARK,,M,43
AIR,ARK,,M,44
AIR,ARK,,M,45
AIR,ARK,,M,46
AIR,ARK,,M,47
AIR,ARK,,M,48
AIR,ARK,,M,49
AIR,ARK,,M,50
AIR,ARS,,M,51
AIR,ARK,,M,52
AIR,ARK,,M,53
AIR,ARK,,M,54
AIR,ARS,,M,55
AIR,ARK,,M,56
AIR,ARK,,M,57
AIR,ARS,,M,58
AIR,ARK,,M,59
AIR,ARK,,M,60
AIR,ARS,,M,61
AIR,ARK,,M,62
AIR,ARK,,M,63
AIR,ARK,,M,64
AIR,ARS,,M,65
AIR,ARS,,M,66
AIR,ARK,,M,67
AIR,ARK,,M,68
AIR,ARK,,M,69
AIR,ARS,,M,70
AIR,ARK,,M,71
AIR,ARK,,M,72
EIT,TEL,TTP,K,73
EIT,TEL,TSC,K,74
EIT,TEL,TTR,K,75
EIT,ETA,,K,76
EIT,TEL,TRU,K,77
EIT,TEL,TTP,K,78
EIT,TEL,TTD,K,79
EIT,ESA,,K,80
EIT,TEL,TRU,K,81
EIT,ETA,,K,82
EIT,ETA,,K,83
EIT,ETA,,K,84
EIT,TEL,TTP,M,85
EIT,ESA,,M,86
EIT,TEL,TTS,M,87
EIT,ETA,,M,88
EIT,ETA,,M,89
EIT,ETA,,M,90
EIT,EZI,,M,91
EIT,ETA,,M,92
EIT,TEL,TRU,M,93
EIT,TEL,TSC,M,94
EIT,ESA,,M,95
EIT,EZI,,M,96
EIT,EZI,,M,97
EIT,ETA,,M,98
EIT,EAE,,M,99
EIT,TEL,TTS,M,100
EIT,EAE,,M,101
EIT,EMS,,M,102
EIT,EAE,,M,103
EIT,TEL,TSC,M,104
EIT,ETA,,M,105
EIT,EZI,,M,106
EIT,TEL,TTS,M,107
EIT,EMS,,M,108
EIT,EZI,,M,109
EIT,EMA,EUE,M,110
EIT,ETA,,M,111
EIT,TEL,TRU,M,112
EIT,EAE,,M,113
EIT,TEL,TTS,M,114
EIT,TEL,TTR,M,115
EIT,EAE,,M,116
EIT,TEL,TTR,M,117
EIT,TEL,TTS,M,118
EIT,EAE,,M,119
EIT,TEL,TTS,M,120
EIT,EZI,,M,121
EIT,TEL,TTS,M,122
EIT,TEL,TTS,M,123
EIT,EAE,,M,124
EIT,TEL,TTR,M,125
EIT,TEL,TTR,M,126
EIT,TEL,TTR,M,127
EIT,ETA,,M,128
EIT,EAE,,M,129
EIT,ESA,,M,130
EIT,EMS,,M,131
EIT,TEL,TRU,M,132
EIT,TEL,TRU,M,133
EIT,ESA,,M,134
EIT,TEL,TSC,M,135
EIT,EOT,,M,136
EIT,EMA,EUE,M,137
EIT,ETA,,M,138
EIT,ETA,,M,139
EIT,EZI,,M,140
EIT,ETA,,M,141
EIT,TEL,TRU,M,142
EIT,EMS,,M,143
EIT,TEL,TTD,M,144
EIT,EZI,,M,145
EIT,EZI,,M,146
EIT,EAE,,M,147
EIT,TEL,TRU,M,148
EIT,TEL,TTS,M,149
EIT,TEL,TTR,M,150
EIT,EOT,,M,151
EIT,TEL,TTS,M,152
EIT,EMS,,M,153
EIT,EAE,,M,154
EIT,TEL,TTS,M,155
EIT,TEL,TTR,M,156
EIT,EMA,EUE,M,157
EIT,TEL,TTS,M,158
EIT,EZI,,M,159
EIT,EAE,,M,160
EIT,EOT,,M,161
EIT,EOT,,M,162
EIT,TEL,TSC,M,163
EIT,TEL,TTS,M,164
EIT,TEL,TTR,M,165
EIT,EAE,,M,166
EIT,EMS,,M,167
EIT,ESA,,M,168
EIT,TEL,TTD,M,169
EIT,EMS,,M,170
EIT,TEL,TTD,M,171
EIT,TEL,TSC,M,172
EIT,EAE,,M,173
EIT,TEL,TTR,M,174
EIT,EZI,,M,175
EIT,EMA,EUE,M,176
EIT,ETA,,M,177
EIT,TEL,TTD,M,178
EIT,EMS,,M,179
EIT,ETA,,M,180
EIT,EOT,,M,181
EIT,TEL,TTR,M,182
EIT,EMS,,M,183
EIT,EZI,,M,184
EIT,EAE,,M,185
EIT,EMA,EUE,M,186
EIT,EOT,,M,187
EIT,TEL,TRU,M,188
EIT,TEL,TTP,M,189
EIT,ETA,,M,190
EIT,TEL,TTS,M,191
EIT,EMA,EUE,M,192
EIT,TEL,TTR,M,193
EIT,EZI,,M,194
EIT,TEL,TTR,M,195
EIT,TEL,TSC,M,196
EIT,TEL,TRU,M,197
EIT,ETA,,M,198
EIT,ETA,,M,199
EIT,EMS,,M,200
EIT,EMA,EUE,M,201
EIT,EMS,,M,202
EIT,EZI,,M,203
EIT,EAE,,M,204
EIT,EOT,,M,205
EIT,EZI,,M,206
EIT,ESA,,M,207
EIT,TEL,TSC,M,208
EIT,EMS,,M,209
EIT,TEL,TTS,M,210
EIT,TEL,TTP,M,211
EIT,TEL,TTS,M,212
EIT,EMA,EUE,M,213
EIT,TEL,TTD,M,214
EIT,EAE,,M,215
EIT,TEL,TTR,M,216
EIT,EAE,,M,217
EIT,EMA,EUE,M,218
EIT,TEL,TTR,M,219
EIT,ETA,,M,220
EIT,EOT,,M,221
EIT,TEL,TSC,M,222
EIT,TEL,TTP,M,223
EIT,EMS,,M,224
EIT,EMS,,M,225
EIT,ESA,,M,226
EIT,TEL,TTD,M,227
EIT,ESA,,M,228
EIT,TEL,TSC,M,229
EIT,TEL,TTD,M,230
EIT,TEL,TTP,M,231
EIT,TEL,TTR,M,232
EIT,EAE,,M,233
EIT,EAE,,M,234
EIT,TEL,TTR,M,235
EIT,TEL,TSC,M,236
EIT,EOT,,M,237
EIT,TEL,TTP,M,238
EIT,EMS,,M,239
EIT,TEL,TTP,M,240
