teacher_id,gender,faculty,institute,title_id
0,1,2,I-22,
1,1,4,I-28,
24,1,11,W-11,8
28,1,4,K0401,8
111,,,,29
307,1,11,I-18,
316,1,11,I-18,
323,1,2,I-22,15
324,1,2,I-22,1
325,1,2,I-22,3
326,1,2,I-22,
328,1,2,I-22,3
329,1,2,I-22,3
330,1,2,I-22,3
331,1,2,I-22,
332,1,2,I-22,3
333,1,2,I-22,29
334,1,2,I-23,
335,1,2,I-23,
336,1,2,I-23,3
337,1,2,I-23,3
338,1,2,I-22,1
339,1,2,I-22,
340,1,2,I-22,3
341,1,2,I-22,3
342,1,2,I-22,
343,1,2,I-22,
344,1,2,I-22,
345,1,2,I-22,
346,1,2,I-22,3
347,1,2,I-22,15
370,1,,I-12,29
371,1,,I-12,
372,1,2,I-22,
373,1,,I-12,29
374,1,2,I-23,
375,1,2,I-22,3
376,1,2,I-22,15
377,2,2,I-22,3
378,1,2,I-22,3
379,2,2,I-22,3
380,1,,I-13,
381,1,2,I-22,
382,1,2,I-22,3
383,1,2,I-22,3
384,1,2,I-23,3
385,1,2,I-23,
386,1,2,I-23,
387,1,2,I-23,
388,1,2,I-23,8
389,1,2,I-23,3
390,1,2,I-22,3
391,1,2,I-23,3
392,1,2,I-23,
393,1,2,I-23,3
516,1,11,I-18,
560,1,,I-8,
561,1,,I-8,
562,1,10,I-19,
563,1,2,I-29,
564,1,2,I-29,
1007,1,,,
1008,1,,,
1049,1,,,3
1050,1,,,
1051,1,,,29
1052,1,,,29
1055,,,,
1057,,,,
1060,1,,I-12,
1061,1,,,3
1065,1,,,3
1075,1,,,
1076,1,,,29
1086,1,,,
1099,,,,
1153,,,,
2003,1,2,I-2,
4001,1,4,K0401,30
4002,1,4,Z0401,30
4003,2,4,,
4004,1,4,K0401,30
4005,1,4,Z0401,8
4006,1,11,W-11,8
4007,1,4,K0401,8
4008,1,11,W-11,8
4009,2,4,K0401,8
4010,1,4,Z0401,8
4011,1,4,Z0401,8
4012,1,4,K0401,8
4013,1,4,Z0401,8
4014,1,4,K0401,8
4015,1,4,Z0401,8
4016,1,4,K0401,8
4017,1,4,K0401,8
4018,1,11,W-11,
4019,1,4,Z0401,8
4020,1,4,K0401,8
4021,1,4,Z0401,8
4022,2,4,K0401,8
4023,2,11,W-11,8
4024,1,11,W-11,8
4025,1,4,Z0401,8
4026,1,4,Z0401,8
4027,1,4,Z0401,8
4028,1,4,K0401,8
4029,2,4,K0401,8
4030,1,4,K0401,
4031,1,4,Z0401,8
4032,1,4,Z0401,8
4033,2,4,Z0401,2
4034,1,4,,2
4035,1,4,K0401,2
4036,1,4,,
4037,1,4,K0401,8
4038,1,8,I-17,30
4039,1,4,Z0402,30
4040,1,8,I-17,30
4041,1,4,Z0402,30
4042,1,4,Z0402,30
4043,1,8,Z0402,
4044,1,8,I-17,8
4045,1,8,I-17,
4046,1,8,I-17,
4047,1,8,I-17,2
4048,1,8,I-17,2
4049,1,4,Z0402,2
4050,1,4,Z0402,2
4051,1,4,Z0402,2
4052,1,4,I-6,2
4053,1,4,I-6,2
4054,1,8,I-17,
4055,1,4,I-6,8
4056,1,2,I-23,8
4057,1,4,I-6,24
4058,1,4,I-6,8
4059,1,4,,
4060,1,4,I-6,8
4061,1,4,I-28,
4062,2,4,I-6,8
4063,1,4,I-6,8
4064,2,4,I-6,2
4065,1,4,I-6,2
4066,1,4,Z0402,2
4067,1,4,I-6,8
4068,1,4,,2
4069,1,4,I-6,24
4070,1,4,I-6,30
4071,1,4,I-6,30
4072,1,4,I-6,24
4073,1,4,I-6,21
4074,1,4,,
4075,1,4,I-6,8
4076,1,4,I-6,8
4077,1,4,I-6,24
4078,1,4,I-6,23
4079,1,4,I-6,8
4080,1,4,I-6,8
4081,1,4,I-6,8
4082,2,4,I-6,8
4083,1,4,I-6,30
4084,1,4,I-6,8
4085,1,4,I-6,2
4086,1,4,I-6,8
4087,1,4,,30
4088,1,4,I-6,8
4089,1,4,I-6,2
4090,1,4,I-6,2
4091,2,4,I-6,2
4092,1,4,,
4093,1,4,I-6,8
4094,1,4,I-6,8
4095,1,2,I-22,21
4096,1,4,I-6,8
4097,1,4,,2
4098,1,4,I-6,8
4099,1,4,I-6,2
4100,1,4,I-6,24
4101,1,4,I-6,8
4102,2,4,I-6,8
4103,1,4,I-6,2
4104,1,4,,2
4105,1,4,I-6,2
4106,1,4,I-6,8
4107,1,4,I-6,8
4108,1,4,I-6,8
4109,2,4,I-6,8
4110,1,4,I-6,8
4111,1,4,I-6,8
4112,1,4,,
4113,1,4,I-6,8
4114,1,4,I-6,30
4115,2,4,I-6,8
4116,1,4,I-6,30
4117,1,4,I-6,8
4118,2,4,I-6,8
4119,1,4,I-6,8
4120,1,4,I-6,8
4121,1,4,I-6,2
4122,1,4,I-6,21
4123,1,4,I-6,2
4124,1,4,I-6,8
4125,1,4,I-6,30
4126,1,4,I-6,8
4127,1,4,I-6,2
4128,1,4,I-6,8
4129,1,4,I-6,8
4130,1,4,I-6,2
4131,1,4,I-6,8
4132,1,4,I-6,30
4133,1,4,,
4134,1,4,I-6,8
4135,1,4,I-25,30
4136,1,4,I-25,30
4137,1,4,I-25,28
4138,1,4,I-25,30
4139,1,4,I-25,30
4140,1,4,I-25,30
4141,1,4,I-25,30
4142,1,4,I-25,30
4143,1,4,I-25,28
4144,1,4,I-25,30
4145,1,4,I-25,
4146,1,4,I-25,14
4147,1,4,I-25,8
4148,2,4,I-25,8
4149,2,4,I-25,8
4150,1,4,I-25,
4151,1,4,I-25,8
4152,1,4,I-6,
4153,2,4,I-25,8
4154,1,4,I-25,8
4155,1,4,I-25,8
4156,1,4,I-25,8
4157,1,4,I-25,30
4158,1,4,I-25,8
4159,2,4,I-25,8
4160,1,4,I-25,8
4161,1,4,I-25,8
4162,1,4,I-25,30
4163,1,4,I-25,8
4164,2,4,I-25,8
4165,1,4,I-25,8
4166,1,4,I-25,8
4167,1,4,I-25,8
4168,2,4,I-25,8
4169,1,4,I-25,8
4170,1,4,I-25,8
4171,1,4,I-25,8
4172,1,4,I-25,8
4173,1,4,I-25,8
4174,1,4,I-25,8
4175,1,4,I-25,8
4176,1,4,I-25,
4177,1,4,I-25,
4178,1,4,I-25,8
4179,1,4,I-25,8
4180,1,4,I-25,8
4181,1,4,I-25,2
4182,1,4,I-28,30
4183,1,4,I-28,30
4184,1,4,I-28,30
4185,1,4,I-28,30
4186,1,4,I-28,30
4187,1,4,I-28,30
4188,1,4,I-28,30
4189,1,4,I-28,8
4190,1,4,I-28,14
4191,1,4,I-28,31
4192,1,4,I-28,8
4193,1,4,I-28,8
4194,1,4,I-28,30
4195,1,4,I-28,8
4196,1,4,I-28,8
4197,1,4,I-28,21
4198,1,4,I-28,8
4199,1,4,I-28,21
4200,1,4,I-28,
4201,1,4,I-28,8
4202,1,4,I-28,8
4203,1,4,I-28,21
4204,1,4,I-28,
4205,1,4,I-28,21
4206,1,4,I-28,8
4207,1,4,I-28,8
4208,1,4,I-28,8
4209,1,4,I-28,8
4210,1,4,I-28,8
4211,1,4,I-28,8
4212,1,4,I-28,8
4213,1,4,I-28,8
4214,1,4,I-28,8
4215,1,4,I-28,8
4216,1,4,I-28,8
4217,1,4,I-28,8
4218,1,4,I-28,8
4219,1,4,I-28,8
4220,1,4,I-28,8
4221,1,4,I-28,21
4222,1,4,I-28,8
4223,1,4,I-28,
4224,1,4,I-28,21
4225,1,4,I-28,8
4226,1,4,I-28,8
4227,1,4,I-28,8
4228,1,4,I-28,8
4229,1,4,I-28,21
4230,1,4,I-28,8
4231,1,4,I-28,8
4232,1,4,I-28,8
4233,1,4,I-28,8
4234,1,4,I-28,8
4235,1,4,I-28,8
4236,1,4,I-28,8
4237,1,4,I-28,30
4238,1,4,I-28,8
4239,1,4,I-28,8
4240,1,4,I-28,8
4241,1,4,I-28,8
4242,1,4,I-28,21
4243,1,4,I-28,8
4244,1,4,I-28,8
4245,1,4,I-28,8
4246,1,4,I-28,8
4247,1,4,K0401,2
4248,1,4,I-28,8
4249,1,4,I-28,8
4250,1,4,I-28,8
4251,1,4,I-28,8
4252,1,4,I-28,8
4253,1,4,I-6,2
4254,1,4,I-6,2
4255,2,4,I-28,8
4256,1,4,I-28,
4257,1,4,I-28,2
4258,2,4,I-28,8
4259,1,4,I-28,
4260,1,4,I-28,
4261,1,4,I-28,
4262,1,4,I-6,
4263,2,4,I-25,
4264,2,4,Z0402,
4265,1,8,I-17,
4266,1,4,I-28,2
4267,1,4,I-28,8
4268,1,4,,
4269,1,4,I-6,8
4270,1,4,I-6,8
4271,1,4,I-28,8
4272,1,8,I-17,
4273,1,4,I-6,
4274,1,4,I-6,
4275,1,4,I-6,
4276,1,4,I-28,
4277,1,4,I-28,
